-,-,-
676, -28, 691
730, -1, 761
768, -30, 638
768, -30, 638
748, -33, 667
730, -44, 700
708, -34, 770
667, -11, 810
652, 26, 800
652, 26, 800
691, 36, 758
684, -26, 758
734, -43, 714
734, -43, 714
827, -34, 552
929, -7, 432
1004, -36, 275
1020, -87, 0
674, -18, 201
674, -18, 201
329, -75, 973
157, 18, 1064
-21, 72, 1203
-295, 231, 1226
-445, 377, 948
-445, 377, 948
-400, 341, 580
-600, 311, 746
-782, 326, 1158
-823, 293, 1194
-822, 343, 1046
-883, 348, 1259
-1008, 328, 1351
-1019, 290, 1153
-854, 355, 863
-518, 272, 829
-518, 272, 829
-219, 65, 898
196, -76, 822
753, -306, 585
988, -80, -244
1203, 97, -232
1229, -30, 0
1229, -30, 0
1163, -106, 228
1040, -34, 368
862, -15, 549
771, -71, 607
-,-,-
741, -62, 704
756, -57, 761
751, 32, 602
751, 32, 602
790, 79, 567
762, -42, 720
825, -58, 625
990, -20, 378
990, -20, 378
1049, -73, 309
1160, -135, 54
971, -76, 51
681, -98, 770
371, -30, 697
371, -30, 697
201, 167, 762
-54, 234, 893
-328, 246, 971
-585, 266, 1062
-796, 487, 680
-1011, 478, 712
-1011, 478, 712
-946, 466, 857
-907, 323, 1063
-960, 306, 1181
-883, 338, 1026
-805, 376, 1078
-810, 347, 1115
-786, 288, 985
-715, 310, 931
-629, 232, 1037
-427, 161, 932
-427, 161, 932
-59, 82, 721
554, -74, 653
661, -195, 116
1061, 69, -190
1397, 35, -144
1374, -436, -360
1374, -436, 60
1182, 172, 60
1039, 24, 272
836, -52, 533
777, 51, 668
754, 13, 693
-,-,-
974, -43, 404
1177, -40, 165
1177, -40, 165
1254, -108, -130
956, -19, -136
621, -53, 525
363, -98, 862
129, 25, 910
-185, 257, 925
-185, 257, 925
-410, 421, 780
-601, 380, 747
-880, 386, 689
-991, 423, 901
-1148, 489, 1034
-1152, 532, 855
-1040, 468, 809
-877, 475, 881
-877, 475, 881
-794, 452, 1005
-854, 475, 1099
-897, 453, 1072
-856, 375, 845
-724, 298, 864
-531, 246, 867
-204, 99, 624
419, 10, 391
419, 10, 391
964, -269, 302
1013, -121, -188
1410, 39, -137
1491, -533, -923
1294, 161, -51
879, -9, 523
879, -9, 523
776, -77, 655
793, 2, 744
-,-,-
873, 7, 570
898, -22, 470
898, -22, 470
966, -23, 363
1142, -53, 143
1213, -120, -16
980, -71, 55
675, -55, 561
675, -55, 561
363, 66, 692
233, 76, 806
-2, 160, 860
-282, 313, 905
-282, 313, 905
-520, 456, 870
-690, 572, 550
-1062, 359, 885
-1019, 426, 1097
-1107, 451, 1074
-1067, 463, 891
-912, 508, 879
-829, 502, 952
-799, 466, 1064
-734, 432, 905
-734, 432, 905
-643, 393, 931
-612, 294, 1061
-488, 246, 910
-69, 221, 515
254, 60, 492
805, -100, 434
805, -100, 434
1055, -441, 283
1140, -73, -149
1236, 37, 61
1434, -196, 45
1088, -226, -149
945, 54, 482
945, 54, 482
830, -1, 581
808, 1, 641
-,-,-
822, 6, 536
822, 6, 536
929, 36, 434
949, -49, 454
1090, -84, 233
1285, -126, -89
1285, -126, -89
1079, -93, -160
737, -71, 349
369, -66, 697
197, 20, 829
-35, 214, 951
-365, 394, 952
-365, 394, 952
-547, 492, 847
-684, 497, 598
-982, 370, 713
-987, 435, 1101
-1142, 487, 1215
-1195, 515, 1049
-1025, 499, 925
-897, 457, 947
-809, 444, 900
-809, 444, 900
-756, 463, 870
-635, 366, 943
-448, 146, 921
9, 78, 596
561, 44, 443
561, 44, 443
938, -147, 601
943, -217, 166
1090, 74, 14
1162, -35, 217
1162, -35, 217
1176, -137, 169
1125, -140, 346
-,-,-
799, -45, 612
834, 46, 568
922, 7, 481
905, -78, 498
905, -78, 498
913, -14, 474
942, -18, 430
1011, -71, 272
1051, -82, 131
916, -125, 431
634, -111, 504
634, -111, 504
336, 51, 692
37, 169, 1145
-216, 209, 1069
-309, 349, 676
-593, 450, 529
-988, 563, 1004
-988, 563, 1004
-993, 461, 1148
-999, 451, 1167
-972, 517, 984
-826, 559, 922
-674, 469, 980
-594, 426, 1076
-603, 397, 941
-530, 344, 1039
-522, 268, 1134
-358, 210, 915
-358, 210, 915
43, 118, 575
455, -13, 707
727, -311, 444
952, -151, -199
1293, 59, -119
1553, -401, -139
1108, -401, -228
1108, -116, -228
1116, 17, 131
-,-,-
867, 5, 432
889, 28, 526
889, 28, 526
836, -3, 515
853, -41, 548
749, -46, 676
749, -46, 676
892, 41, 514
1028, -26, 366
1119, -109, 193
1034, -134, 135
820, -35, 269
625, -69, 549
625, -69, 549
347, 1, 893
