-,-,-
-36, 55, 1018
-36, 55, 1018
-75, 47, 975
-84, 13, 986
-54, -1, 1015
-20, 7, 1038
-20, 7, 1038
-84, 43, 1060
-112, 60, 1130
-187, 61, 1243
-254, 53, 1368
-266, -33, 1563
-266, -33, 1563
-328, -39, 1488
-258, -19, 1231
-86, 101, 900
203, 162, 575
411, 62, 428
518, 18, 576
518, 18, 576
635, -59, 444
829, -11, 295
1232, 24, 237
1046, -189, -234
1030, 162, 134
1030, 162, 134
984, 134, 46
935, 115, 200
903, 74, 367
882, -16, 431
-,-,-
-312, 142, 1243
-312, 142, 1243
-480, 61, 1418
-623, 92, 1334
-563, 202, 1119
-408, 221, 951
-233, 144, 957
120, 62, 1013
388, -24, 740
388, -24, 740
589, 95, 318
789, 129, 116
927, 89, 60
1353, 22, 72
1353, 22, 72
1042, -111, -164
1030, 67, 107
960, 72, 311
894, 76, 441
894, 76, 441
876, 79, 520
861, 53, 552
871, 72, 461
871, 72, 461
918, 100, 348
952, 79, 225
981, 53, 173
-,-,-
-489, 252, 1219
-472, 213, 1519
-618, 74, 1384
-618, 74, 1384
-593, 78, 958
-468, 147, 842
-317, 164, 1019
-332, -32, 1225
-45, 14, 1175
218, 46, 846
218, 46, 846
507, 206, 300
797, 155, 127
843, 63, 152
936, 38, 285
936, 38, 285
1223, 27, 261
991, 100, -4
982, 179, 313
923, 94, 308
923, 94, 308
892, 97, 497
874, 77, 476
867, 98, 501
867, 98, 501
882, 97, 481
899, 100, 402
913, 119, 332
913, 119, 332
922, 131, 254
-,-,-
-164, 184, 996
-164, 184, 996
-173, 146, 977
-224, 171, 1218
-398, 150, 1437
-523, 170, 1314
-506, 195, 1264
-453, 149, 1254
-336, -1, 1055
18, 98, 958
18, 98, 958
288, 145, 555
639, 122, 270
737, 4, 289
897, 11, 158
897, 11, 158
979, 46, 47
1231, 121, 98
1080, -32, -150
1080, -32, -150
993, 59, 257
964, 55, 294
920, 80, 320
904, 104, 360
917, 119, 357
917, 119, 357
920, 104, 357
927, 92, 299
951, 105, 247
-,-,-
-191, 129, 981
-232, 148, 853
-308, 252, 996
-325, 187, 1119
-249, 172, 1325
-391, 106, 1452
-529, 140, 1330
-449, 149, 1151
-449, 149, 1151
-340, 156, 1038
-94, 94, 1030
174, -4, 996
450, 53, 577
578, 96, 303
578, 96, 303
691, 167, 75
897, 156, 61
1348, 33, 177
1077, -192, -185
1077, -192, -185
1023, 113, 49
981, 160, 207
913, 107, 343
869, 127, 478
861, 124, 468
877, 119, 437
877, 119, 437
-,-,-
-266, 184, 996
-284, 176, 1042
-343, 197, 1220
-469, 187, 1496
-647, 135, 1378
-743, 243, 1322
-743, 243, 1322
-725, 208, 1137
-466, 205, 676
175, 171, 892
426, 30, 599
710, 28, -38
890, 102, 39
890, 102, 39
921, 119, 28
1320, 176, 57
1202, -202, -429
1027, 213, 72
1027, 213, 72
986, 145, 230
893, 99, 347
892, 163, 430
897, 117, 387
897, 117, 387
-,-,-
-243, 219, 978
-188, 167, 1013
-188, 167, 1013
-159, 202, 1055
-337, 240, 1300
-536, 281, 1520
-607, 174, 1462
-676, 238, 1344
-716, 246, 1110
-372, 194, 617
193, 106, 798
403, -2, 579
403, -2, 579
572, 118, -2
777, 315, -353
1094, 233, -386
1531, -222, -613
866, 285, -347
959, 205, 319
959, 205, 319
1008, 98, 180
899, 247, 315
924, 282, 290
936, 220, 320
-,-,-
-129, 126, 970
-90, 260, 1105
-161, 214, 1092
-264, 228, 1217
-432, 180, 1429
-575, 260, 1258
-575, 260, 1258
-514, 307, 1184
-424, 254, 1157
-123, 59, 1107
152, 56, 905
342, 148, 195
718, 215, -135
1049, 105, -99
1049, 105, -99
1483, -175, -158
1168, -7, -628
1095, 197, 62
965, 168, 212
878, 151, 342
801, 181, 574
801, 181, 574
823, 161, 612
-,-,-
-102, 213, 990
-160, 280, 1163
-315, 236, 1455
-574, 210, 1580
-665, 348, 1152
-489, 406, 1104
-363, 270, 1085
57, 149, 967
57, 149, 967
365, 54, 453
493, 148, 159
720, 200, -143
1063, 12, -141
1164, -321, -782
1184, 576, -103
1184, 576, -103
975, 31, 221
876, 177, 357
850, 206, 558
772, 163, 604
836, 157, 594
836, 157, 594
-,-,-
-193, 292, 1064
-246, 310, 1218
-246, 310, 1218
