-,-,-
84, -132, 1247
153, -84, 1387
145, 59, 1568
142, 57, 1762
142, 57, 1762
14, -187, 1937
15, -258, 1998
51, -264, 1843
101, -157, 1602
40, -142, 1431
64, -99, 1385
64, -99, 1385
67, -137, 1289
-1, -92, 1153
-13, 7, 971
21, 54, 761
21, 54, 761
-7, 38, 608
-33, 1, 684
-97, 32, 619
-97, 32, 619
-99, 146, 496
-90, 26, 361
-121, -2, 266
-,-,-
-83, -156, 1249
-16, -2, 1206
101, -13, 1301
4, -57, 1552
61, 28, 1453
61, 28, 1453
111, -20, 1342
133, -62, 1497
53, -69, 1460
56, 62, 1436
159, 160, 1576
159, 160, 1576
92, -25, 1433
91, -3, 1368
105, 6, 1200
130, 52, 1031
130, 52, 1031
110, 47, 966
105, 91, 996
54, 100, 873
45, 135, 749
45, 135, 749
1, 20, 671
20, -166, 698
-,-,-
-262, -246, 1768
-262, -246, 1768
-156, -40, 1759
14, 139, 1500
38, 145, 1496
70, 70, 1539
135, 57, 1431
229, 144, 1268
229, 144, 1268
225, 194, 1279
122, 181, 1322
98, 187, 1205
67, 180, 1054
6, 134, 962
6, 134, 962
30, 134, 924
38, 0, 637
-11, 29, 365
-11, 29, 365
-77, 255, 247
-92, 245, 312
-118, 229, 358
-,-,-
-77, -288, 1718
-86, -131, 1777
15, -33, 1518
98, 70, 1090
34, 59, 1069
34, 59, 1069
25, -17, 1147
33, -14, 1197
40, 9, 1335
11, -27, 1294
11, -27, 1294
44, 14, 1174
-51, 29, 1244
-17, 23, 1427
-5, -107, 1308
-5, -107, 1308
29, -60, 1189
18, -58, 1002
-9, 24, 735
1, 149, 574
1, 149, 574
-20, 120, 469
-67, 132, 435
-101, 155, 387
-83, 215, 288
-83, 215, 288
-,-,-
-117, 8, 1068
-117, 8, 1068
32, -30, 1009
8, -16, 1125
8, -121, 1468
56, -215, 1416
164, -172, 1312
139, -103, 1457
139, -103, 1457
6, -17, 1639
-53, -61, 1717
-125, -150, 1580
-71, -60, 1503
-92, -45, 1425
-99, 56, 1379
-81, 13, 1284
-81, 13, 1284
-89, -26, 1179
-90, 5, 1095
-90, 99, 969
-97, 144, 901
-97, 144, 901
-97, 70, 819
-102, 64, 749
-94, 97, 647
-,-,-
17, 10, 1577
56, 55, 1331
39, -3, 1197
30, -46, 1281
30, -46, 1281
4, 0, 1284
-17, 35, 1277
-13, 35, 1200
-12, 25, 1201
-12, 25, 1201
-55, -19, 1231
-69, 19, 1250
-20, 0, 1098
4, 0, 928
4, 0, 928
-34, 33, 935
-76, 74, 901
-76, 74, 901
-58, 70, 744
-55, 108, 625
-12, 217, 487
-47, 241, 460
-47, 241, 460
-78, 299, 451
-115, 249, 480
-137, 212, 499
-171, 128, 517
-229, 101, 616
-238, 114, 649
-238, 114, 649
-230, 126, 617
-,-,-
-121, -48, 1158
-82, -72, 1456
-109, -80, 1568
-102, -107, 1642
-59, -112, 1636
-33, -134, 1693
-39, -98, 1550
-39, -98, 1550
-78, -47, 1334
-61, 84, 1239
-93, 84, 1193
-113, 29, 1208
-116, 60, 1109
-107, 104, 1028
-107, 104, 1028
-109, 125, 1025
-101, 71, 1044
-22, 22, 1001
-27, -6, 968
-41, 49, 904
-76, 84, 828
-76, 84, 828
-114, 80, 717
-131, 118, 635
-74, 223, 652
-,-,-
-86, -160, 1601
-185, -298, 1853
-51, -238, 1929
119, -115, 1664
200, -18, 1576
151, -70, 1466
137, -97, 1324
141, 2, 1213
141, 2, 1213
85, 54, 1158
58, 55, 1064
13, 25, 937
13, 25, 937
1, 137, 875
18, 150, 736
-3, 80, 597
-3, 80, 597
-65, 39, 602
-100, 151, 562
-73, 261, 474
-73, 261, 474
-13, 218, 388
-,-,-
-265, -195, 1107
-113, -73, 1152
-113, -73, 1152
-129, 47, 1105
-107, 100, 1151
-111, 16, 1233
-143, -117, 1547
-149, -201, 1813
-109, -223, 1808
-58, -199, 1746
-6, -132, 1630
-64, -77, 1482
-88, -5, 1418
-110, 8, 1283
-110, 8, 1283
-120, 31, 1234
-103, 30, 1158
-77, -9, 1024
-86, 103, 936
-44, 198, 744
-44, 198, 744
-22, 243, 614
-70, 189, 593
-55, 145, 595
-108, 119, 572
-108, 119, 572
-,-,-
-174, -75, 1124
-48, 15, 1033
-71, -15, 1109
-119, 45, 1107
-19, 158, 1049
-39, 116, 1357
-39, 116, 1357
-118, -175, 1769
-68, -327, 1913
30, -296, 1818
76, -195, 1666
69, -123, 1533
-11, -76, 1484
-72, -70, 1424
-84, -62, 1281
-84, -62, 1281
-63, -5, 1155
-95, 23, 1083
-109, 54, 995
-85, 84, 884
-85, 84, 884
-60, 99, 756
-66, 123, 700
-84, 141, 621
-116, 178, 505
-112, 259, 488
-112, 259, 488
-148, 206, 429
-106, 198, 377
-86, 187, 328
-117, 153, 380
-272, 94, 518
-,-,-
-61, -12, 1556
-61, -12, 1556
3, 27, 1442
39, 112, 1315
70, 108, 1391
104, 17, 1461
104, 17, 1461
119, 77, 1471
140, 137, 1404
96, 114, 1290
62, 103, 1225
37, 69, 1159
37, 69, 1159
57, 35, 1011
78, 55, 824
110, 138, 727
110, 138, 727
66, 119, 610
34, 129, 508
-41, 98, 509
-41, 98, 509
-93, 181, 490
-141, 291, 452
-158, 308, 418
-128, 261, 371
-126, 212, 474
-,-,-
-118, -19, 1287
-224, -211, 1606
-188, -146, 1797
-205, -144, 1905
-113, -90, 1770
-62, -8, 1552
-39, 78, 1483
-39, 78, 1483
-61, 119, 1377
-56, 123, 1236
-52, 147, 1147
-56, 172, 1070
-39, 146, 970
-37, 134, 862
-37, 134, 862
-44, 126, 743
-42, 158, 637
-50, 151, 519
-60, 122, 446
-60, 122, 446
-81, 124, 423
-82, 153, 478
-,-,-
-34, 149, 1193
-108, 175, 1310
-161, 80, 1617
-217, -58, 1895
-236, -292, 1998
-218, -493, 1998
-170, -504, 1997
-131, -457, 1746
-100, -349, 1404
-166, -254, 1255
-260, -259, 1121
-221, -206, 914
-99, -85, 599
-33, 22, 400
-33, 22, 400
-5, 113, 286
12, 204, 162
-13, 294, 62
-13, 294, 62
-112, 295, 152
-208, 250, 340
-,-,-
-78, -210, 1922
-78, -210, 1922
-17, -246, 1913
91, -88, 1656
95, 18, 1455
71, 88, 1325
-16, 114, 1168
-19, 112, 1086
-19, 112, 1086
-15, 71, 930
23, 89, 754
-27, 152, 637
-72, 172, 678
-72, 172, 678
-78, 155, 646
-97, 137, 539
-117, 101, 432
-172, 121, 477
-155, 183, 573
-155, 183, 573
-141, 155, 476
-125, 178, 403
-,-,-
-83, -67, 1517
-83, -67, 1517
-1, -56, 1713
2, -30, 1915
58, -38, 1913
108, -33, 1788
93, -15, 1523
93, -15, 1523
103, 66, 1294
67, 162, 1149
20, 174, 1045
33, 159, 934
33, 159, 934
65, 105, 731
40, 196, 587
-22, 231, 531
