-,-,-
964, -53, 253
1006, -83, 241
970, -89, 219
970, -89, 219
977, -40, 197
971, -9, 158
979, -34, 214
986, -48, 160
986, -48, 160
984, -3, 151
1006, 66, 121
1058, 89, -92
1136, 0, -11
1136, 0, -11
1076, -175, 73
1000, -109, 126
859, -74, 55
686, -149, 213
310, -198, 573
-35, 17, 700
-35, 17, 700
-323, 188, 933
-349, 313, 907
-336, 195, 1065
-279, 100, 1221
-329, 24, 1272
-455, 41, 1556
-455, 41, 1556
-377, 183, 1602
-216, 212, 1027
-190, 105, 921
-,-,-
1000, 14, 219
981, -34, 268
984, -30, 249
976, 1, 205
976, 1, 205
1018, 31, 205
1003, 14, 224
962, 3, 242
962, 3, 242
972, 0, 119
1082, 61, 13
1127, 78, -11
1127, 78, -11
1092, -87, 34
1109, -166, 37
1095, -117, -63
810, -79, -73
456, 35, 303
456, 35, 303
277, 110, 1011
272, 59, 1147
239, 109, 815
144, 154, 881
3, 246, 1017
3, 246, 1017
-82, 272, 1192
-156, 245, 1170
-208, 235, 1057
-223, 291, 1006
-259, 239, 1163
-219, 236, 1147
-154, 227, 1050
-154, 227, 1050
-66, 173, 1007
-45, 122, 1083
-81, 100, 1186
-,-,-
934, -23, 386
895, -48, 440
937, -48, 386
950, -39, 289
960, -41, 279
960, -41, 279
971, -59, 245
1033, -106, 200
1169, -129, 40
1219, -134, -69
1140, -106, -91
1049, -72, -146
819, -33, -193
819, -33, -193
514, 60, 219
427, 80, 871
238, 31, 872
42, 137, 890
42, 137, 890
-244, 250, 1061
-445, 342, 1203
-535, 402, 1218
-671, 290, 1214
-545, 311, 1091
-380, 272, 1079
-237, 185, 1156
-161, 145, 1183
-111, 159, 1082
-114, 172, 1009
-114, 172, 1009
